Jahr;Ort;Preisart
2006;Dortmund;Hauptpreis
2006;Kassel;Preistraeger
2006;Jena;Preistraeger
2006;Braunschweig;Preistraeger
2006;Hamburg;Preistraeger
2007;Hildesheim;Hauptpreis
2007;Wiesbaden;Preistraeger
2007;Marbach;Preistraeger
2007;Berlin;Preistraeger
2007;Potsdamm;Preistraeger
2008;Mnster;Hauptpreis
2008;Ammerbuch;Preistraeger
2008;Paderborb;Preistraeger
2008;Bonn-Beuel;Preistraeger
2008;Rastede;Preistraeger
2010;Bad Hindelang-Oberjoch;Hauptpreis
2010;Landau;Preistraeger
2010;Bielefeld;Preistraeger
2010;Erlangen;Preistraeger
2010;Templin;Preistraeger
2011;G”ttingen;Hauptpreis
2011;Wolmirstedt;Preistraeger
2011;Remscheid;Preistraeger
2011;Karlstadt;Preistraeger
2011;Bremerhaven;Preistraeger
2012;Neuruppin;Hauptpreis
2012;Bochum;Preistraeger
2012;Bonn;Preistraeger
2012;Bremen;Preistraeger
2012;Hamburg;Preistraeger
